################################################################################ 
# 
# Generated by: SpyGlass Physical 
# Generated on: Thu Sep 10 04:33:34 2015 
# Hostname    : localhost.localdomain 
# Version     : 5.5.0.2 
# Module Name : openMSP430 
# Command     : report physical.cluster -rpt ClustersArea.out 
# 
################################################################################ 
# Design state:   Routed 
------------------------------------------------------------------------------------------------------------ 
                                         Name       Type  InstCount                        Boundary     Area 
------------------------------------------------------------------------------------------------------------ 
  openMSP430_execution_unit_0_register_file_0  exclusive       1021       (0.54,0.81) (18.63,76.68)  1372.49 
                      openMSP430_multiplier_0  exclusive        952   (54.54,27.81) (74.925,75.465)   971.45 
                             openMSP430_dbg_0  exclusive        886      (31.185,1.08) (75.6,22.41)   947.37 
                        openMSP430_frontend_0  exclusive        847    (18.63,1.215) (31.185,65.07)   801.70 
            openMSP430_execution_unit_0_alu_0  exclusive        602   (18.495,64.8) (52.245,76.275)   387.28 
     openMSP430_execution_unit_0__GlueLogic__  exclusive        313  (31.185,25.245) (39.015,65.07)   311.83 
                    openMSP430_mem_backbone_0  exclusive        308    (39.015,22.14) (46.17,64.53)   303.30 
                        openMSP430_watchdog_0  exclusive        140      (45.9,22.41) (73.71,27.81)   150.17 
                    openMSP430_clock_module_0  exclusive        103   (46.17,27.675) (50.76,51.165)   107.82 
                             openMSP430_sfr_0  exclusive         93   (50.76,27.675) (54.54,44.415)    63.28 
                      openMSP430__GlueLogic__  exclusive         32   (52.785,44.145) (54.54,55.89)    20.61 
------------------------------------------------------------------------------------------------------------ 
################################################################################ 
