################################################################################ 
# 
# Generated by: SpyGlass Physical 
# Generated on: Thu Sep 10 04:33:35 2015 
# Hostname    : localhost.localdomain 
# Version     : 5.5.0.2 
# Module Name : openMSP430 
# Command     : report physical.wirelength -total -detail -rpt WLnets.out 
# 
################################################################################ 
Steiner Estimate 
--------------------------------------------------------------------- 
                                                NET  NUM_PINS  LENGTH 
--------------------------------------------------------------------- 
                                            aclk_en         3  103.57 
                                            irq[12]         4   94.60 
                                         per_din[6]         6   93.37 
        execution_unit_0/register_file_0/rtlc_N8672       232   92.06 
                                        dbg_halt_st        34   92.04 
                        execution_unit_0/alu_out[6]         6   91.51 
                                        per_addr[0]        12   90.57 
                                        per_din[12]         7   90.39 
               execution_unit_0/register_file_0/VCC       231   89.73 
                                         per_din[1]         7   89.25 
                                             irq[8]         4   89.15 
                                            irq[11]         3   88.93 
                                             irq[7]         3   88.66 
                                             irq[4]         3   85.63 
                                       per_addr[12]         6   85.60 
                                        per_addr[4]         6   85.26 
        execution_unit_0/register_file_0/rtlc_N9666        18   85.23 
                                             irq[3]         4   85.00 
                        execution_unit_0/alu_out[2]         7   84.90 
                         execution_unit_0/reg_sp_wr        17   84.82 
                                             irq[0]         4   84.68 
                                        per_addr[8]         6   84.26 
         execution_unit_0/register_file_0/rtlc_N588        17   82.98 
        execution_unit_0/register_file_0/rtlc_N9729        18   82.91 
                                         per_din[2]         7   82.51 
        execution_unit_0/register_file_0/rtlc_N9687        18   82.21 
                                        per_din[14]         6   81.94 
        execution_unit_0/register_file_0/rtlc_N9750        18   81.68 
                                         per_din[4]         7   81.58 
                                        inst_src[1]        18   81.54 
                                      pmem_dout[12]         4   81.13 
                                        inst_src[0]        17   80.99 
                                       inst_src[15]        18   80.11 
        execution_unit_0/register_file_0/rtlc_N9529        18   80.07 
                                            dbg_clk       144   79.47 
         execution_unit_0/register_file_0/rtlc_N330        17   78.97 
                                       inst_src[14]        18   78.75 
                                         per_din[8]         6   78.57 
                                        inst_src[5]        18   78.39 
        execution_unit_0/register_file_0/rtlc_N9603        18   78.09 
                                        per_addr[2]        12   78.02 
        execution_unit_0/register_file_0/rtlc_N9771        18   77.73 
                                             per_en         7   77.54 
                                        dmem_din[6]         2   77.52 
                                       inst_dest[1]        17   77.36 
                                       dmem_addr[1]         2   77.02 
                                        per_din[10]         6   76.69 
                                        inst_src[8]        18   76.68 
                                       pmem_dout[9]         4   76.32 
                                         irq_acc[1]         2   76.13 
                                       inst_dest[0]        18   76.01 
                                         per_din[0]         9   76.00 
                        execution_unit_0/alu_out[1]         7   75.94 
                                        inst_src[6]        18   75.65 
